"Prey","PreyGene","WT_UB_WT_BR_SaintScore","WT_UB_WT_BR_log2FoldChange","WT_UB_WT_BR_MG_SaintScore","WT_UB_WT_BR_MG_log2FoldChange","WT_KO_BR_SaintScore","WT_KO_BR_log2FoldChange","WT_KO_BR_MG_SaintScore","WT_KO_BR_MG_log2FoldChange","SE_UB_WT_BR_SaintScore","SE_UB_WT_BR_log2FoldChange","SE_UB_WT_BR_MG_SaintScore","SE_UB_WT_BR_MG_log2FoldChange","SE_KO_BR_SaintScore","SE_KO_BR_log2FoldChange","SE_KO_BR_MG_SaintScore","SE_KO_BR_MG_log2FoldChange"
"O43818","RRP9",0.15,0.584962500721156,0.02,-1,0.65,4.05918219921169,0.33,4.05918219921169,0.22,0.584962500721156,NA,NA,NA,NA,NA,NA
"P13646-3","KRT13",0.15,0.516015147003665,0.52,1.58496250072116,NA,NA,0,-1.35845397091248,0.34,1,0.33,0.807354922057604,NA,NA,NA,NA
"P67809","YBX1",0.14,0.739848102699327,0.19,0.871843648509318,0,-0.761213140412883,0,-0.395928676331139,0,-0.494109070270043,0,-0.340075441597622,0.48,1.58496250072116,0.02,-0.2688167584278
"Cont_Q04695","Cont_Q04695",0.13,0.632268215499513,0.15,1.06350294230616,0,-0.168122758808327,0,-0.358453970912476,0.2,1.20163386116965,0.01,-0.514573172829758,0,-1.78587519464715,0,-1.78587519464715
"P46782","RPS5",0.09,-0.577766999316952,0.3,1.22032995487956,0,-0.377069649079823,0,-0.556393348524385,0.65,4.7371459197762,NA,NA,NA,NA,0.16,0
"P15924","DSP",0.08,0,0.22,0.584962500721156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P02751-5","FN1",0.07,-0.494109070270043,NA,NA,NA,NA,NA,NA,0.05,-0.736965594166206,0.02,-1.32192809488736,0.33,4.05918219921169,NA,NA
"P09874","PARP1",0.05,-0.736965594166206,0.02,-1.32192809488736,0.32,2.73768676140986,NA,NA,0,-0.577766999316952,0.01,-1,NA,NA,0.41,1.58496250072116
"Cont_Q2M2I5","Cont_Q2M2I5",0.05,-0.736965594166206,0.3,0.84799690655495,NA,NA,0,-1.78587519464715,NA,NA,NA,NA,NA,NA,NA,NA
"Q15542","TAF5",0.05,0.321928094887362,0.01,-0.415037499278844,0.12,0.895302621333307,0.04,0.367371065648529,0,-1.18442457113743,0,-1.59946207041627,0.49,1.58496250072116,0.16,0
"P51532-5","SMARCA4",0.05,-0.736965594166206,0.09,0.485426827170242,0.66,4.32192809488736,0.64,4.05918219921169,0.64,3.73660487531425,0.32,2.73768676140986,NA,NA,0.05,-0.736965594166206
"Q8NI27","THOC2",0.04,-0.577766999316952,0,-1.59946207041627,0.19,0,NA,NA,0.3,1,NA,NA,0.66,4.54411440220947,0.66,4.7371459197762
"Q9NR30-2","DDX21",0.04,0.189033824390017,0.02,0.516015147003665,0.33,3.73660487531425,0.33,3.32192809488736,0.16,0,0.44,1.22032995487956,0,-2,0,-0.415037499278844
"O00268","TAF4",0.03,0.464668267003444,0.05,0.321928094887362,0,-0.200912693925996,0,-1.08926733809709,0,-1.32192809488736,0,-1,0.07,-0.415037499278844,0,-2
"P19388","POLR2E",0.03,-0.810966175609983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q9GZS1","POLR1E",0.02,-0.217591435072627,0.03,0,0,-2.32192809488736,0,-0.736965594166206,NA,NA,NA,NA,NA,NA,0.17,0
"P02545","LMNA",0.01,0.485426827170242,0,0.485426827170242,0,0.298658315564515,0,-1,0,0.16349873228288,0.29,1.13093086982645,0,0.298658315564515,0,0.111031312388744
"P39023","RPL3",0.01,0,0,-1.78587519464715,0.62,1.87578006306849,NA,NA,0.03,0,0.01,-1.32192809488736,0.3,1.32192809488736,0.22,0.584962500721156
"P61313","RPL15",0.01,-0.217591435072627,0.05,0.516015147003665,0,-1.15200309344505,0,-1.47393118833241,0,-1.59946207041627,0.2,0,0.02,-0.666576266274808,0.02,-0.184424571137427
"P62805","HIST1H4L;HIST1H4K;HIST4H4;HIST1H4I;HIST1H4C;HIST1H4B;HIST1H4J;HIST2H4A;HIST1H4A;HIST1H4E;HIST1H4F;HIST2H4B;HIST1H4H;HIST1H4D",0.01,0.432959407276106,0.32,1.40599235967584,0.02,-0.104697378666693,0,-0.168122758808327,0,-0.0439433475875971,0,-0.473931188332412,0.32,1.17632277264046,0.01,1.20163386116965
"Q5VWG9","TAF3",0.01,-1,NA,NA,0.03,0.150559676575381,0.01,-0.577766999316952,0.25,1,0.3,0.807354922057604,0.32,1,0.15,0
"P25705","ATP5A1",0.01,0.150559676575381,0,-0.83650126771712,0.49,1.4594316186373,NA,NA,0.01,0.464668267003444,0.01,-0.184424571137427,0.39,1.32192809488736,0.22,0.584962500721156
"P05141","SLC25A5",0.01,-1.32192809488736,0.29,0.84799690655495,0.05,-0.494109070270043,0.04,0.650764559116902,NA,NA,NA,NA,NA,NA,NA,NA
"Q9H0A0","NAT10",0.01,-0.2688167584278,0.1,0.22650852980868,0,0.238786859587116,NA,NA,0,-0.136061549576028,0,-0.136061549576028,1,5.64385618977472,1,5.43729433149714
"Q99848","EBNA1BP2",0.01,0.137503523749935,0,-0.321928094887362,0,0.124328135002202,0,-0.136061549576028,0,-0.454031630894707,0,0.263034405833794,0.05,0.871843648509318,0.04,0.739848102699327
"Cont_Q86YZ3","Cont_Q86YZ3",0,-0.862496476250065,0,0.16349873228288,0.33,1.34482849699744,0.11,0.75702324650746,0,0.16349873228288,0,-2.12029423371771,0,-0.643856189774725,NA,NA
"P05166","PCCB",0,-1.64385618977472,0,-3.18442457113743,0,-0.785875194647153,0,-2.55639334852439,0,-4.32192809488736,0,-4.05889368905357,0,-2.94341647163363,0,-2.55639334852439
"Cont_P05783","Cont_P05783",0,0,0.05,0.37851162325373,0,-0.713118852211838,0,-0.83650126771712,0.67,4.7371459197762,1,5.64385618977472,0.06,0,0.07,0.22650852980868
"P62753","RPS6",0,-1.88896868761126,0,-0.915935735211525,0,0,0,-1.21759143507263,0,-0.286304185156641,0,-0.862496476250065,0.33,1.49569516262407,0,-0.454031630894707
"Q07020","RPL18",0,-1.73696559416621,0,-0.454031630894707,0.32,1.05658352836637,0,-0.120294233717712,0.32,1.58496250072116,0.71,1.77820857639809,0.13,0.411426245726465,0,-1.59946207041627
"Q02878","RPL6",0,-0.971430847803229,0,-0.377069649079823,0,0.298658315564515,0,-0.377069649079823,0,-1.55639334852439,0,0.150559676575381,0,0.565597175854225,0,0.20163386116965
"Cont_P00761","Cont_P00761",0,-1.43440282414577,0,-0.810966175609983,0,-2.64385618977472,0,-1.25153876699596,0,0.263034405833794,0.1,0.903038270112912,0,-1.28630418515664,0,-1.15200309344505
"Q9Y2X3","NOP58",0,-0.358453970912476,0,0.286881147788162,0.06,1.22032995487956,0,-0.15200309344505,0,-0.577766999316952,0,-0.434402824145775,0,0.799087306074004,0,0.432959407276106
"P62263","RPS14",0,-0.217591435072627,0,-0.217591435072627,0.36,1.22032995487956,0.19,0.831877241191673,0,-0.234465253637023,0.28,1.20789285164133,0,-1.08926733809709,0,0.16349873228288
"P84098","RPL19",0,-0.358453970912476,0,-0.415037499278844,0.01,0.650764559116902,0.03,0.443606651475615,0.04,0.871843648509318,0.54,1.62293035092018,0,-1.39592867633114,0,-0.943416471633633
"Q9HBM6","TAF9B",0,-1.59946207041627,0.12,-0.2688167584278,0,-1.25153876699596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q71U36-2","TUBA1A",0,-1.18442457113743,0.17,1,0.13,-0.321928094887362,0.08,-0.321928094887362,0.33,4.05918219921169,0.33,4.05918219921169,NA,NA,0.33,3.73660487531425
"Q8N0X7","SPG20",0,0,0,0.344828496997441,0.07,0.650764559116902,0.37,1.28095631383106,0.27,1.16992500144231,0.64,1.75702324650746,0.67,3.52356195605701,0.66,3
"P18583-7","SON",0,-0.395928676331139,0,0.0976107966264223,0,-0.577766999316952,0,-0.3040061868901,0,-1.32192809488736,0,-0.862496476250065,0,0.356143810225275,0,-0.473931188332412
"O43854-2","EDIL3",0,0.150559676575381,0.01,0,0.26,1.25096157353322,0.01,-0.184424571137427,0,-0.286304185156641,0.03,0.238786859587116,0.25,0.584962500721156,0.06,-0.415037499278844
